date,open,high,low,close,volume,volatility,return_1,lag_1,lag_2,ma_4,target_next_close
2006-08-18,75.85,79.97,75.6,79.9,29303900.0,4.3700000000000045,0.05855855855855863,75.48,75.91,77.0625,79.88
2006-08-25,79.51,80.0,78.42,79.88,18060100.0,1.5799999999999983,-0.0002503128911139907,79.9,75.48,77.7925,81.41
2006-09-01,79.91,81.68,79.76,81.41,22236900.0,1.9200000000000017,0.01915373059589376,79.88,79.9,79.16749999999999,80.66
2006-09-08,81.19,81.54,79.31,80.66,16108000.0,2.230000000000004,-0.009212627441346322,81.41,79.88,80.4625,82.94
2006-09-15,80.6,83.59,80.25,82.94,27425800.0,3.3400000000000034,0.028266798909000856,80.66,81.41,81.2225,81.21
2006-09-22,82.56,83.79,81.01,81.21,30290000.0,2.780000000000001,-0.02085845189293467,82.94,80.66,81.55499999999999,81.94
2006-09-29,81.64,82.79,81.28,81.94,25658300.0,1.5100000000000051,0.008989040758527356,81.21,82.94,81.6875,83.14
2006-10-06,81.76,83.78,81.56,83.14,25738600.0,2.219999999999999,0.014644862094215227,81.94,81.21,82.3075,86.08
2006-10-13,83.14,86.21,83.0,86.08,26864000.0,3.2099999999999937,0.03536203993264375,83.14,81.94,83.0925,90.48
2006-10-20,86.08,92.04,85.75,90.48,67866100.0,6.290000000000006,0.0511152416356877,86.08,83.14,85.41,90.76
2006-10-27,90.05,92.0,90.01,90.76,35037300.0,1.9899999999999949,0.0030946065428825165,90.48,86.08,87.61500000000001,91.41
2006-11-03,90.3,92.68,89.8,91.41,30108500.0,2.8800000000000097,0.007161745262229902,90.76,90.48,89.6825,91.76
2006-11-10,91.5,93.4,91.5,91.76,29456500.0,1.9000000000000057,0.003828902745870444,91.41,90.76,91.10249999999999,93.81
2006-11-17,91.75,94.05,91.41,93.81,23826600.0,2.6400000000000006,0.02234088927637301,91.76,91.41,91.935,93.35
2006-11-24,93.77,93.8,92.8,93.35,13559900.0,1.0,-0.0049035284084852915,93.81,91.76,92.5825,91.25
2006-12-01,92.71,93.24,90.43,91.25,27785200.0,2.809999999999988,-0.02249598286020349,93.35,93.81,92.5425,93.86
2006-12-08,92.5,94.87,92.25,93.86,28792200.0,2.6200000000000045,0.028602739726027337,91.25,93.35,93.0675,95.3
2006-12-15,93.72,95.8,93.3,95.3,30414900.0,2.5,0.015341998721499994,93.86,91.25,93.44,95.25
2006-12-22,94.95,96.5,94.8,95.25,24009800.0,1.7000000000000028,-0.0005246589716684236,95.3,93.86,93.91499999999999,97.15
2006-12-29,95.0,97.88,94.92,97.15,15807900.0,2.9599999999999937,0.019947506561679873,95.25,95.3,95.39,97.42
2007-01-05,97.17,98.79,96.26,97.42,26942600.0,2.530000000000001,0.0027792074112196197,97.15,95.25,96.28,99.34
2007-01-12,98.5,100.33,97.93,99.34,44830200.0,2.3999999999999915,0.019708478751796266,97.42,97.15,97.29,96.17
2007-01-19,99.4,100.9,94.55,96.17,58474800.0,6.3500000000000085,-0.03191061002617279,99.34,97.42,97.52,97.45
2007-01-26,96.42,97.92,96.12,97.45,41549100.0,1.7999999999999972,0.013309763959654886,96.17,99.34,97.595,99.17
